train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/ent_coef_loss,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate
0.0032852415461093187,-3.8405373399999996,8005,3,0.04175465553998947,0.7231375575065613,524,31457,2.1498942375183105,31558,41.97,0.0003
0.003351503750309348,-3.83152389,8033,3,0.03544023633003235,-0.815375566482544,528,31621,2.0712366104125977,31722,41.76,0.0003
0.0034259865060448647,-3.7727815399999995,8063,3,0.04052051901817322,-0.3390147089958191,532,31798,2.1651952266693115,31899,41.3,0.0003
0.003439375665038824,-3.6317253300000005,8082,3,0.03320693597197533,0.26102012395858765,536,31904,2.07536244392395,32005,40.38,0.0003
0.003500432940199971,-3.55977626,8106,3,0.03525906801223755,0.12169137597084045,540,32039,2.218254566192627,32140,39.97,0.0003
0.003536797594279051,-3.5295977800000005,8141,3,0.038606464862823486,0.18758320808410645,544,32249,2.251706123352051,32350,40.03,0.0003
0.0035119070671498775,-3.6138519000000002,8170,3,0.024095382541418076,0.7427080869674683,548,32414,2.203791618347168,32515,40.43,0.0003
0.0035524708218872547,-3.63749211,8317,3,0.06584611535072327,-1.7744899988174438,552,32590,2.0778777599334717,32691,40.58,0.0003
0.00355255207978189,-3.64047017,8381,3,0.09734271466732025,0.5323985815048218,556,32750,2.229886054992676,32851,40.92,0.0003
0.003566901898011565,-3.67629136,8412,3,0.08191297948360443,0.8852592706680298,560,32932,2.159815549850464,33033,41.22,0.0003
0.0035986180882900953,-3.63400794,8439,3,0.03005826473236084,-0.14564305543899536,564,33087,2.1530303955078125,33188,41.07,0.0003
0.003621578449383378,-3.6755593300000005,8460,3,0.03572918474674225,-0.18394577503204346,568,33202,2.2194297313690186,33303,40.99,0.0003
0.0036413378547877073,-3.746204010000001,8499,3,0.03659641370177269,2.219038963317871,572,33432,2.2872424125671387,33533,40.96,0.0003
0.0037283331621438265,-3.78455984,8534,3,0.056199610233306885,-0.5230802297592163,576,33638,2.159595251083374,33739,41.44,0.0003
0.0037520406767725945,-3.8275611400000007,8573,3,0.045366644859313965,-1.122767448425293,580,33876,2.218370199203491,33977,41.7,0.0003
0.0037769144400954247,-3.7608143000000007,8595,3,0.024310240522027016,0.12474954128265381,584,33996,2.243602752685547,34097,41.17,0.0003
0.003825561376288533,-3.7965522300000005,8625,3,0.029835360124707222,-0.22697073221206665,588,34164,2.252708673477173,34265,41.14,0.0003
0.0038006878457963467,-3.86335392,8655,3,0.05489736795425415,-0.3989197313785553,592,34343,2.1443469524383545,34444,41.32,0.0003
0.0038616484962403774,-3.9207539600000003,8685,3,0.04058508202433586,0.8907240629196167,596,34521,2.1442348957061768,34622,41.88,0.0003
0.00397378159686923,-4.060891140000001,8722,3,0.04243224114179611,0.26394298672676086,600,34745,2.275876522064209,34846,42.84,0.0003
0.00403007073327899,-4.0738959900000005,8749,4,0.055925846099853516,0.5035680532455444,604,34903,2.1377978324890137,35004,43.05,0.0003
0.004039386287331581,-4.17239743,8788,4,0.07164508104324341,0.5606335401535034,608,35136,2.2051854133605957,35237,43.6,0.0003
0.004034243058413267,-4.21357764,8822,4,0.04735594987869263,-0.6385021805763245,612,35340,2.2743959426879883,35441,44.4,0.0003
0.004070085473358631,-4.114965059999999,8844,4,0.05623383820056915,0.2518998384475708,616,35465,2.22619891166687,35566,43.46,0.0003
0.004075006581842899,-4.15620275,8875,4,0.09660857915878296,0.21625758707523346,620,35641,2.1851961612701416,35742,43.7,0.0003
0.0040466138161718845,-4.107061509999999,8903,4,0.03479946404695511,0.8016970157623291,624,35803,2.2780508995056152,35904,43.46,0.0003
0.004052286967635155,-4.11808871,8935,4,0.06401362270116806,0.4233643710613251,628,35998,2.2518739700317383,36099,43.77,0.0003
0.004034077748656273,-4.251945450000001,8977,4,0.07106815278530121,0.7022560834884644,632,36250,2.236788034439087,36351,44.52,0.0003
0.003998617175966501,-4.314651270000001,9006,4,0.04571566730737686,-0.8370307087898254,636,36419,2.365084409713745,36520,45.15,0.0003
0.00404003169387579,-4.407287559999999,9117,4,0.03275315463542938,-0.9935235977172852,640,36612,2.3025155067443848,36713,45.73,0.0003
0.004074363503605127,-4.332371129999999,9272,3,0.027190987020730972,-1.155104637145996,644,36763,2.2395715713500977,36864,45.14,0.0003
0.0040825544856488705,-4.23983158,9393,3,0.023121146485209465,-0.6688718795776367,648,36880,2.268364429473877,36981,44.66,0.0003
