train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss
47578,32356,-15.394842200000001,47679,484,-1.7051069736480713,0.0003,1,0.040065914392471313,0.0028094183653593063,96.09,6.483255386352539
47916,32698,-15.24856215,48017,488,-0.41191428899765015,0.0003,1,0.04442862793803215,0.002818432403728366,95.47,6.4102678298950195
48254,32765,-15.097421489999999,48355,492,-3.0619006156921387,0.0003,1,0.038482531905174255,0.0028319309931248426,94.85,6.592455863952637
48654,32830,-15.18972165,48755,496,-0.2966233491897583,0.0003,1,0.03653562068939209,0.002848574426025152,94.85,6.826061248779297
48876,32868,-14.794888610000001,48977,500,3.5689384937286377,0.0003,1,0.03458333760499954,0.0028474959544837475,93.37,7.115952014923096
49276,32934,-14.763957819999998,49377,504,-1.4875121116638184,0.0003,1,0.037804946303367615,0.002811883110553026,93.37,7.014456272125244
49497,32973,-14.296698370000001,49598,508,-4.565335750579834,0.0003,1,0.04035414755344391,0.0028231171891093254,91.58,7.113986015319824
49777,33019,-14.11325556,49878,512,0.9967373609542847,0.0003,1,0.033556193113327026,0.0027954273391515017,90.38,7.256932258605957
50177,33084,-14.10127387,50278,516,0.7358691692352295,0.0003,1,0.03081998974084854,0.0028096435125917196,90.38,7.337386131286621
50518,33140,-13.88206682,50619,520,0.29223042726516724,0.0003,1,0.03755400329828262,0.002820712747052312,89.79,7.572459697723389
50831,33192,-13.625742249999998,50932,524,-1.915102243423462,0.0003,1,0.03954937681555748,0.0028167462442070246,88.92,7.466685771942139
51117,33239,-13.413745760000001,51218,528,-2.828187942504883,0.0003,1,0.0369718112051487,0.0028465783689171076,87.78,7.640805244445801
51487,33615,-13.48823873,51588,532,2.6110103130340576,0.0003,1,0.10464511066675186,0.0028396493289619684,88.11,7.854715824127197
51877,34009,-13.27668109,51978,536,-2.668840169906616,0.0003,1,0.03161509707570076,0.002873897785320878,88.01,8.054616928100586
52213,34195,-13.20344437,52314,540,-1.0151934623718262,0.0003,1,0.1382438838481903,0.002915378427132964,87.9,7.984869480133057
52495,34481,-13.10536654,52596,544,-2.572547674179077,0.0003,1,0.12435915321111679,0.002959367586299777,87.18,8.216480255126953
52831,34821,-12.93826726,52932,548,1.1624982357025146,0.0003,1,0.03643486648797989,0.0029015028849244118,86.54,8.10301685333252
53160,35156,-12.872433439999995,53261,552,1.8033249378204346,0.0003,1,0.03598121553659439,0.0028835490811616182,85.83,8.399056434631348
53496,35496,-12.83935866,53597,556,0.7604846358299255,0.0003,1,0.03015279769897461,0.0029431574512273073,85.19,8.314373016357422
53778,35781,-12.618872009999997,53879,560,2.79105544090271,0.0003,1,0.04740084707736969,0.00296204024925828,84.01,8.4508695602417
54110,36118,-12.663348160000004,54211,564,1.4633586406707764,0.0003,1,0.04288560897111893,0.0030568756628781557,84.42,8.57608413696289
54449,36460,-12.671003159999998,54550,568,-1.1125171184539795,0.0003,1,0.04148133844137192,0.003092223545536399,83.92,8.47059440612793
54849,36865,-12.69518992,54950,572,-2.86898136138916,0.0003,1,0.043354570865631104,0.003059029346331954,83.92,8.516944885253906
55142,37162,-12.5438455,55243,576,1.7293651103973389,0.0003,1,0.045115720480680466,0.0030569748487323523,83.45,8.751944541931152
55484,37507,-12.45179031,55585,580,0.4553391635417938,0.0003,1,0.1814432144165039,0.0030410911422222853,83.06,8.712793350219727
55802,37830,-12.31290024,55903,584,-2.2330820560455322,0.0003,1,0.04931872338056564,0.003083525924012065,82.24,8.732651710510254
56113,38145,-12.094863750000002,56214,588,0.8309850692749023,0.0003,1,0.04642659053206444,0.0030809217132627964,81.97,8.893322944641113
56513,38548,-12.184778869999997,56614,592,0.4255666732788086,0.0003,1,0.03133217990398407,0.003087857738137245,82.59,8.942549705505371
56913,38952,-12.054402109999998,57014,596,1.9265735149383545,0.0003,1,0.04186219349503517,0.0031541220378130674,82.59,9.288049697875977
57252,39296,-12.158601650000001,57353,600,-2.03375506401062,0.0003,1,0.04267448931932449,0.0031612347811460495,83.76,9.134391784667969
57529,39577,-11.914684119999999,57630,604,-2.1602611541748047,0.0003,1,0.0453634113073349,0.003161830361932516,82.53,9.342842102050781
57806,39858,-11.979777019999998,57907,608,3.6586034297943115,0.0003,1,0.03824391961097717,0.0032253635581582785,83.09,9.253774642944336
58106,40161,-11.892803159999998,58207,612,0.6217069625854492,0.0003,1,0.06817331165075302,0.003236210672184825,83.29,9.46180534362793
58349,40409,-11.595418480000001,58450,616,1.8317636251449585,0.0003,1,0.1942235231399536,0.003187984460964799,81.72,9.333715438842773
58566,40632,-11.40896135,58667,620,-1.2166997194290161,0.0003,1,0.14985604584217072,0.0032479893416166306,80.48,9.085671424865723
58842,40912,-11.261693630000002,58943,624,0.5798468589782715,0.0003,1,0.03428921103477478,0.0032972267363220453,80.11,9.30937385559082
59182,41256,-11.17230733,59283,628,1.4825167655944824,0.0003,1,0.04268615320324898,0.003238879842683673,80.65,9.386981964111328
59505,41584,-11.063128920000002,59606,632,1.9201453924179077,0.0003,1,0.13563740253448486,0.00324411503970623,80.18,9.520452499389648
59844,41925,-11.0405101,59945,636,-1.3854342699050903,0.0003,1,0.048001982271671295,0.0033177975565195084,79.67,9.290742874145508
60067,42152,-10.901970220000003,60168,640,0.6963171362876892,0.0003,1,0.06821190565824509,0.003301378572359681,78.54,9.04816722869873
60415,42504,-10.86106275,60516,644,2.2697033882141113,0.0003,1,0.15053397417068481,0.003339373739436269,79.2,9.247762680053711
60696,42790,-10.74016113,60797,648,2.5006167888641357,0.0003,1,0.038560621440410614,0.003342755837365985,78.65,9.495174407958984
60959,43057,-10.594415940000001,61060,652,0.12288159132003784,0.0003,1,0.050949931144714355,0.0033363925758749247,77.99,9.22410774230957
61301,43403,-10.441123459999998,61402,656,-0.20380288362503052,0.0003,1,0.47628265619277954,0.0033354652114212513,78.05,9.239950180053711
61701,43807,-10.689363749999998,61802,660,1.0749871730804443,0.0003,1,0.04580425098538399,0.003311361651867628,79.23,9.58963394165039
62036,44147,-10.753721360000002,62137,664,-0.75836181640625,0.0003,1,0.04406474530696869,0.0033087304327636957,79.26,9.287266731262207
62336,44450,-10.63001248,62437,668,-0.11032810807228088,0.0003,1,0.20740444958209991,0.0033339259680360556,78.87,9.611144065856934
