rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/n_updates,time/fps,train/critic_loss,time/total_timesteps,time/episodes
87.55,20309,4.072274684906006,-0.8646135926246643,-15.04008728,0.0003,0.004104698076844215,123001,1,0.03182333707809448,23203,256
87.94,20596,4.109696388244629,0.1757020205259323,-14.902078610000004,0.0003,0.004125015810132027,123391,1,0.02623271942138672,23593,260
87.4,20651,4.067953109741211,2.537810802459717,-14.88081688,0.0003,0.004216465167701244,123723,1,0.08295536041259766,23925,264
87.01,20701,4.174756050109863,-1.4266636371612549,-14.873966580000001,0.0003,0.00423623900860548,124024,1,0.03321700170636177,24226,268
87.41,20757,4.306011199951172,1.2975976467132568,-15.00992374,0.0003,0.004208474885672331,124370,1,0.03126183897256851,24572,272
86.6,20791,4.155480861663818,-1.1816973686218262,-14.682157810000001,0.0003,0.004179810173809528,124574,1,0.06829240173101425,24776,276
86.15,20850,4.436173439025879,0.9317296147346497,-14.589820629999998,0.0003,0.004253827501088381,124929,1,0.061008743941783905,25131,280
85.07,20889,4.408935546875,0.26022207736968994,-14.505022429999999,0.0003,0.00430432939901948,125158,1,0.02611963450908661,25360,284
85.05,20939,4.6473188400268555,-3.6052613258361816,-14.46495208,0.0003,0.004196109250187874,125458,1,0.03673611581325531,25660,288
84.42,21023,4.581225395202637,-2.7109971046447754,-14.423434460000001,0.0003,0.004219566937536001,125758,1,0.03585677593946457,25960,292
83.81,21367,4.645426273345947,-0.06901943683624268,-14.159283619999998,0.0003,0.004205820616334677,126097,1,0.09548602253198624,26299,296
84.48,21770,4.866717338562012,-0.8861306309700012,-14.52087328,0.0003,0.004266816657036543,126497,1,0.03230441361665726,26699,300
83.73,22050,4.837202548980713,-0.8611447811126709,-14.351897229999999,0.0003,0.004187364596873522,126774,1,0.04710359126329422,26976,304
83.17,22399,4.742880821228027,-1.4198246002197266,-14.431871939999999,0.0003,0.004228594247251749,127118,1,0.07530885934829712,27320,308
82.15,22702,4.813589096069336,-1.186107873916626,-14.15586722,0.0003,0.004265138413757086,127416,1,0.037219107151031494,27618,312
82.2,23044,5.002148151397705,1.445106029510498,-14.07710433,0.0003,0.00423034094274044,127755,1,0.03687428683042526,27957,316
81.13,23341,4.9276862144470215,1.6088275909423828,-13.893675700000001,0.0003,0.004271390847861767,128048,1,0.03944516181945801,28250,320
79.84,23615,4.879822254180908,0.9241271018981934,-13.56821933,0.0003,0.004306807182729244,128318,1,0.05898283049464226,28520,324
79.77,23943,5.070818901062012,-1.6334723234176636,-13.505418680000002,0.0003,0.0043609002605080605,128648,1,0.04737772047519684,28850,328
80.23,24010,4.839658260345459,-0.7665718793869019,-13.66313181,0.0003,0.004347390495240688,129048,1,0.03521411120891571,29250,332
80.62,24069,4.966902732849121,-0.6753926277160645,-13.93321859,0.0003,0.004341467749327421,129339,1,0.11149091273546219,29541,336
78.97,24112,5.201636791229248,1.4275972843170166,-13.642584219999998,0.0003,0.0042878263629972935,129555,1,0.047511834651231766,29757,340
79.14,24168,5.040833950042725,-0.5265182256698608,-13.62520908,0.0003,0.0043326555751264095,129850,1,0.0560506135225296,30052,344
78.87,24221,5.234682083129883,2.2591750621795654,-13.656839419999999,0.0003,0.004375839605927467,130156,1,0.061915792524814606,30358,348
79.09,24279,5.153075218200684,-1.0830504894256592,-13.759597219999998,0.0003,0.004386069718748331,130510,1,0.046536751091480255,30712,352
77.89,24327,5.237775802612305,3.412729024887085,-13.28301391,0.0003,0.004312324803322554,130790,1,0.1023205816745758,30992,356
76.63,24372,5.261438369750977,1.6751292943954468,-13.14236459,0.0003,0.004339275881648064,131054,1,0.0337650328874588,31256,360
77.31,24444,5.310172080993652,1.3530356884002686,-13.178169660000002,0.0003,0.004437054041773081,131454,1,0.03927350789308548,31656,364
77.11,24498,5.29447603225708,1.085024118423462,-13.0395316,0.0003,0.004474635701626539,131735,1,0.04089818522334099,31937,368
76.99,24562,5.164679050445557,-1.0340495109558105,-13.022996720000002,0.0003,0.004460673313587904,132069,1,0.027343090623617172,32271,372
78.34,24631,5.3019304275512695,1.0740498304367065,-13.223100980000002,0.0003,0.004471954423934221,132408,1,0.042386047542095184,32610,376
77.54,24689,5.288088321685791,0.34835878014564514,-12.939032070000003,0.0003,0.004440590739250183,132683,1,0.04275509715080261,32885,380
78.02,24753,5.183324813842773,-1.215440034866333,-13.12790912,0.0003,0.004469916224479675,132960,1,0.08808235079050064,33162,384
78.36,24834,5.195374488830566,-0.8537851572036743,-13.252894540000002,0.0003,0.0044536045752465725,133294,1,0.06709083914756775,33496,388
78.01,24901,5.078135967254639,-1.2527064085006714,-13.103518659999999,0.0003,0.00441976822912693,133559,1,0.03389379009604454,33761,392
76.27,24943,5.242300033569336,-0.49476030468940735,-12.739255290000001,0.0003,0.004446190781891346,133724,1,0.03810114040970802,33926,396
74.95,25001,5.091533660888672,-0.18714222311973572,-12.38900104,0.0003,0.0044632903300225735,133992,1,0.06843917071819305,34194,400
75.51,25078,5.290231704711914,0.6810247898101807,-12.612817680000001,0.0003,0.0044620707631111145,134325,1,0.06827272474765778,34527,404
75.47,25174,5.302890777587891,1.0827592611312866,-12.17454714,0.0003,0.004519025795161724,134665,1,0.04248956963419914,34867,408
75.52,25239,5.42415714263916,-0.9057213068008423,-12.125227879999997,0.0003,0.004517456982284784,134968,1,0.03636280447244644,35170,412
74.99,25299,5.474040508270264,-1.0134294033050537,-11.989261939999997,0.0003,0.0044809686951339245,135254,1,0.04085386171936989,35456,416
74.88,25358,5.421289443969727,1.4826147556304932,-11.86497216,0.0003,0.0044743516482412815,135536,1,0.0931115448474884,35738,420
74.61,25414,5.440074920654297,-0.9198675155639648,-11.754671740000001,0.0003,0.004482220858335495,135779,1,0.09826312959194183,35981,424
74.76,25485,5.601203441619873,1.058180570602417,-11.716223300000001,0.0003,0.004507234785705805,136124,1,0.07338143140077591,36326,428
74.24,25557,5.358707427978516,-1.6355146169662476,-11.683424080000002,0.0003,0.004524970427155495,136472,1,0.13518255949020386,36674,432
73.45,25604,5.5933518409729,-0.9596203565597534,-11.374425370000004,0.0003,0.0044851903803646564,136684,1,0.05036742240190506,36886,436
73.77,25659,5.497636318206787,-1.5063838958740234,-11.404430500000004,0.0003,0.004546945448964834,136932,1,0.04188217967748642,37134,440
74.14,25726,5.7035064697265625,-1.1059690713882446,-11.385189349999997,0.0003,0.004523087292909622,137264,1,0.0440702885389328,37466,444
72.73,25765,5.197373390197754,-2.9065749645233154,-11.03522853,0.0003,0.0045079137198626995,137429,1,0.0412149503827095,37631,448
71.05,25808,5.4757981300354,-1.0958836078643799,-10.724434539999999,0.0003,0.004542892798781395,137615,1,0.07007962465286255,37817,452
72.25,25890,5.304177284240723,-1.2830915451049805,-10.977837939999999,0.0003,0.004513101652264595,138015,1,0.03991597145795822,38217,456
72.56,25958,5.460643768310547,-0.9021103382110596,-10.95537432,0.0003,0.004523416981101036,138310,1,0.07570615410804749,38512,460
71.38,26027,5.466960906982422,1.3255834579467773,-10.63865423,0.0003,0.0045141433365643024,138592,1,0.058037251234054565,38794,464
71.91,26094,5.761669158935547,-0.8428815603256226,-10.63595367,0.0003,0.004605394322425127,138926,1,0.04141000285744667,39128,468
72.34,26171,5.436250686645508,-1.5379185676574707,-10.50072429,0.0003,0.004626488778740168,139303,1,0.1079862117767334,39505,472
72.06,26233,5.463861465454102,-0.2537255585193634,-10.421821009999999,0.0003,0.004583543166518211,139614,1,0.09865552186965942,39816,476
72.15,26291,5.554785251617432,3.0793676376342773,-10.471560279999998,0.0003,0.004580584820359945,139898,1,0.04671289399266243,40100,480
72.31,26351,5.29548978805542,-0.553929328918457,-10.34134171,0.0003,0.004591479431837797,140191,1,0.046056222170591354,40393,484
72.14,26418,5.343489646911621,1.6237123012542725,-10.482308539999998,0.0003,0.0045814779587090015,140508,1,0.07374618947505951,40710,488
71.09,26454,5.426695346832275,1.083693027496338,-10.210957409999999,0.0003,0.004592142533510923,140668,1,0.08740592002868652,40870,492
72.13,26512,5.385975360870361,4.002542495727539,-10.439345189999997,0.0003,0.004551147110760212,140937,1,0.04866146296262741,41139,496
71.6,26558,5.526919841766357,1.6340957880020142,-10.214096249999999,0.0003,0.004581215791404247,141152,1,0.05420064181089401,41354,500
70.98,26617,5.217235088348389,-1.4897305965423584,-9.902500449999998,0.0003,0.004581897519528866,141423,1,0.04424583166837692,41625,504
69.73,26663,5.4128618240356445,-1.7981699705123901,-9.79166807,0.0003,0.004559579771012068,141638,1,0.043161846697330475,41840,508
69.22,26722,5.2916154861450195,-0.7926551699638367,-9.71665159,0.0003,0.004587667062878609,141890,1,0.056440748274326324,42092,512
