rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/learning_rate,time/episodes,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/n_updates
-2.50039792,0.034924425184726715,70599,0.0003,1888,1.6883480548858643,0.003926524892449379,1,0.7224627733230591,42244,18.5,70498
-2.4913817600000003,0.03003283217549324,70668,0.0003,1892,1.6355466842651367,0.003923506010323763,1,-1.3726214170455933,42317,18.71,70567
-2.49576789,0.024050433188676834,70746,0.0003,1896,1.736153244972229,0.003910159692168236,1,1.6699366569519043,42400,18.78,70645
-2.50451994,0.02160482108592987,70851,0.0003,1900,1.5683351755142212,0.0039208149537444115,1,-0.7390522956848145,42507,19.04,70750
-2.5230028300000003,0.022839460521936417,70909,0.0003,1904,1.7306764125823975,0.003912761807441711,1,0.4360896944999695,42569,18.63,70808
-2.4776275200000004,0.04127722606062889,70981,0.0003,1908,1.70352041721344,0.003895340720191598,1,-1.1508432626724243,42644,18.3,70880
-2.54010645,0.04511274769902229,71071,0.0003,1912,1.7644102573394775,0.0038857217878103256,1,-0.018665552139282227,42737,18.8,70970
-2.50771116,0.03543413430452347,71122,0.0003,1916,1.6820306777954102,0.003886071965098381,1,0.803959846496582,42792,18.51,71021
-2.45106121,0.02972782775759697,71194,0.0003,1920,1.723386287689209,0.0038889083079993725,1,-0.402493417263031,42868,18.54,71093
-2.46863071,0.017010727897286415,71265,0.0003,1924,1.6544264554977417,0.003912203945219517,1,0.9715643525123596,42943,18.6,71164
-2.4750840699999994,0.02701956033706665,71337,0.0003,1928,1.8308883905410767,0.0039023347198963165,1,2.9682958126068115,43018,18.6,71236
-2.4490408899999996,0.02278653346002102,71417,0.0003,1932,1.7974858283996582,0.003919433802366257,1,1.5554169416427612,43100,18.59,71316
-2.45778516,0.017557568848133087,71519,0.0003,1936,1.712207317352295,0.003923205193132162,1,-0.3532062768936157,43206,19.07,71418
-2.38948284,0.02076154202222824,71562,0.0003,1940,1.672276496887207,0.003907839301973581,1,0.4963189959526062,43253,18.42,71461
-2.42270853,0.018452296033501625,71661,0.0003,1944,1.7624123096466064,0.003908895887434483,1,1.091317892074585,43355,18.41,71560
-2.4673445700000003,0.013437253423035145,71725,0.0003,1948,1.712268352508545,0.003935458604246378,1,-1.2391929626464844,43423,18.38,71624
-2.42260255,0.018269583582878113,71773,0.0003,1952,1.6787570714950562,0.003943502437323332,1,-0.6610755324363708,43473,18.03,71672
-2.42316687,0.015116175636649132,71825,0.0003,1956,1.6637176275253296,0.0039323559030890465,1,-1.254356026649475,43527,17.82,71724
-2.37156183,0.03209508955478668,71886,0.0003,1960,1.6858065128326416,0.003925942815840244,1,-0.5366035103797913,43592,17.78,71785
-2.3383011899999997,0.033987678587436676,71964,0.0003,1964,1.724843978881836,0.003895808942615986,1,1.5736749172210693,43672,17.66,71863
-2.3809705699999997,0.050565533339977264,72046,0.0003,1968,1.845232605934143,0.0039082118310034275,1,1.0281448364257812,43759,17.77,71945
-2.37579237,0.03799772262573242,72152,0.0003,1972,1.6328842639923096,0.003877648152410984,1,0.3060310184955597,43867,18.2,72051
-2.34593812,0.010749694891273975,72190,0.0003,1976,1.6948717832565308,0.003860127879306674,1,-1.1712459325790405,43908,17.95,72089
-2.32222538,0.03034912422299385,72235,0.0003,1980,1.7510638236999512,0.0038617386016994715,1,1.0868396759033203,43956,17.52,72134
-2.2682092799999998,0.02630895934998989,72282,0.0003,1984,1.7115139961242676,0.0038709789514541626,1,-0.7799420356750488,44007,17.38,72181
-2.2828525699999997,0.03705960139632225,72341,0.0003,1988,1.7153395414352417,0.003887308295816183,1,0.9693281054496765,44070,17.42,72240
-2.2873425599999995,0.027124833315610886,72437,0.0003,1992,1.7435250282287598,0.003903358243405819,1,1.4194542169570923,44170,17.69,72336
-2.2908211599999997,0.022761251777410507,72515,0.0003,1996,1.7285027503967285,0.003912920132279396,1,-1.8723235130310059,44250,17.69,72414
-2.29387949,0.01113654114305973,72593,0.0003,2000,1.7354276180267334,0.0038984830025583506,1,-0.359772264957428,44331,17.42,72492
-2.27982229,0.013727935031056404,72705,0.0003,2004,1.6753512620925903,0.003894349094480276,1,-1.0166624784469604,44446,17.96,72604
-2.27922782,0.023921553045511246,72776,0.0003,2008,1.6909160614013672,0.003899737959727645,1,-0.11011981964111328,44520,17.95,72675
-2.2828634599999997,0.0176839642226696,72857,0.0003,2012,1.6941410303115845,0.0038879995699971914,1,1.4965324401855469,44606,17.86,72756
-2.25953437,0.017358727753162384,72895,0.0003,2016,1.725546956062317,0.003895045490935445,1,-0.7119802236557007,44646,17.73,72794
-2.22547584,0.05063667520880699,72932,0.0003,2020,1.6700271368026733,0.0038671193178743124,1,-0.2841913402080536,44687,17.38,72831
-2.19858994,0.023106660693883896,73023,0.0003,2024,1.6521551609039307,0.0038554847706109285,1,-1.652298092842102,44781,17.58,72922
-2.19627667,0.018301818519830704,73096,0.0003,2028,1.6482303142547607,0.0038521788083016872,1,-0.8995920419692993,44858,17.59,72995
-2.15100837,0.04209338128566742,73189,0.0003,2032,1.7527626752853394,0.0038355982396751642,1,1.6021993160247803,44954,17.72,73088
-2.145238,0.014366140589118004,73259,0.0003,2036,1.6821892261505127,0.0038521953392773867,1,1.516484260559082,45027,17.4,73158
-2.19558339,0.02002587914466858,73344,0.0003,2040,1.7288799285888672,0.0038639656268060207,1,-0.7059500217437744,45117,17.82,73243
-2.16874045,0.0341050922870636,73427,0.0003,2044,1.7251770496368408,0.0038558486849069595,1,1.3421727418899536,45203,17.66,73326
-2.13328236,0.025848470628261566,73562,0.0003,2048,1.7538379430770874,0.003890249179676175,1,-0.09032213687896729,45341,18.37,73461
-2.1389647300000005,0.013810891658067703,73624,0.0003,2052,1.7527066469192505,0.003843067679554224,1,0.34015554189682007,45406,18.51,73523
-2.1467422299999996,0.017435545101761818,73724,0.0003,2056,1.6547269821166992,0.0038434104062616825,1,0.14535382390022278,45511,18.99,73623
-2.1850512,0.02485167607665062,73778,0.0003,2060,1.7344143390655518,0.003841437166556716,1,-1.3710120916366577,45568,18.92,73677
-2.19740669,0.027340874075889587,73860,0.0003,2064,1.6242849826812744,0.00385046168230474,1,0.5222216844558716,45655,18.96,73759
-2.167662,0.03938600420951843,73910,0.0003,2068,1.7087838649749756,0.0038422010838985443,1,-0.964754581451416,45709,18.64,73809
-2.16495747,0.03662534058094025,73959,0.0003,2072,1.6575614213943481,0.003814570140093565,1,0.5294649004936218,45760,18.07,73858
