train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/episodes
7.324094772338867,47255,0.0959387868642807,51833,51934,1.754561185836792,90.69,1,0.0031046487856656313,0.0003,-14.922537859999998,532
7.591194152832031,47309,0.0418965183198452,52151,52252,-0.6432186365127563,89.87,1,0.0030437763780355453,0.0003,-14.783223989999994,536
7.358267784118652,47366,0.028677305206656456,52483,52584,-0.2997310161590576,89.87,1,0.0030605862848460674,0.0003,-14.671671490000001,540
7.73017692565918,47423,0.05640984699130058,52817,52918,1.218937873840332,89.21,1,0.0030902130529284477,0.0003,-14.453223460000002,544
7.602153778076172,47490,0.041791364550590515,53217,53318,-2.224445104598999,89.21,1,0.0030765922274440527,0.0003,-14.127383629999999,548
8.018657684326172,47537,0.04314614087343216,53487,53588,-1.4995863437652588,87.91,1,0.0030412853229790926,0.0003,-13.782980220000002,552
7.779127597808838,47596,0.037830471992492676,53835,53936,-2.3469018936157227,87.39,1,0.003079116577282548,0.0003,-13.527938270000002,556
8.463469505310059,47658,0.033726926892995834,54187,54288,0.42801448702812195,87.5,1,0.003058723174035549,0.0003,-13.415141479999999,560
8.34658145904541,47726,0.031144633889198303,54587,54688,-1.0658663511276245,87.5,1,0.0031792360823601484,0.0003,-13.507601650000002,564
8.349936485290527,47786,0.11948518455028534,54929,55030,0.29303503036499023,87.34,1,0.0031946999952197075,0.0003,-13.373414530000002,568
8.343944549560547,47849,0.04421456530690193,55290,55391,-2.097421169281006,87.48,1,0.003204525448381901,0.0003,-13.636416320000002,572
8.664468765258789,47918,0.0439746156334877,55690,55791,0.6998311281204224,87.48,1,0.003157667350023985,0.0003,-13.7894987,576
8.582667350769043,47985,0.03613721579313278,56090,56191,0.18685343861579895,88.02,1,0.0031776370014995337,0.0003,-13.852944139999998,580
8.623522758483887,48044,0.043860189616680145,56415,56516,-1.1034996509552002,87.27,1,0.003209842834621668,0.0003,-13.72028129,584
8.741230010986328,48099,0.17376062273979187,56740,56841,1.225506067276001,86.75,1,0.0032252727542072535,0.0003,-13.77317964,588
8.566383361816406,48163,0.1654548943042755,57090,57191,-1.515178918838501,86.25,1,0.0032792158890515566,0.0003,-13.745419560000002,592
9.02250862121582,48226,0.055687692016363144,57454,57555,-0.023068547248840332,86.7,1,0.003256114898249507,0.0003,-13.82234469,596
9.169499397277832,48273,0.04337700083851814,57729,57830,-0.31824570894241333,86.06,1,0.0032931745517998934,0.0003,-13.63659225,600
8.962760925292969,48335,0.05521337687969208,58103,58204,0.9235570430755615,86.48,1,0.003350690472871065,0.0003,-13.742769800000001,604
9.010109901428223,48382,0.049969401210546494,58378,58479,-0.7246034145355225,85.91,1,0.0033286013640463352,0.0003,-13.635053680000004,608
9.015751838684082,48426,0.04669785127043724,58629,58730,-0.6408977508544922,84.42,1,0.0033151833340525627,0.0003,-13.2459996,612
9.08543872833252,48480,0.04967624694108963,58941,59042,1.808565378189087,84.8,1,0.0033829479943960905,0.0003,-13.28697843,616
9.235856056213379,48540,0.05186253786087036,59279,59380,1.497434377670288,84.46,1,0.0034090401604771614,0.0003,-13.229962640000002,620
9.293951988220215,48590,0.045925553888082504,59566,59667,1.0789228677749634,83.33,1,0.003416193649172783,0.0003,-12.827941469999999,624
9.233301162719727,48652,0.04737093299627304,59905,60006,-1.6758790016174316,83.8,1,0.0034022685140371323,0.0003,-12.923687769999999,628
9.006754875183105,48688,0.04588665813207626,60099,60200,0.5642225742340088,82.66,1,0.0034696832299232483,0.0003,-12.694110169999998,632
9.091604232788086,48740,0.06247054412961006,60393,60494,-0.20095223188400269,82.42,1,0.003460115287452936,0.0003,-12.621075219999998,636
8.931475639343262,48791,0.04523884505033493,60688,60789,2.6181368827819824,82.05,1,0.0034478320740163326,0.0003,-12.67796958,640
9.039201736450195,48854,0.05472074821591377,61055,61156,1.9713003635406494,82.38,1,0.003424830036237836,0.0003,-12.637719319999999,644
9.412176132202148,48921,0.05144966021180153,61383,61484,0.6160273551940918,81.66,1,0.003456609323620796,0.0003,-12.49761346,648
9.26181697845459,48978,0.04649738594889641,61665,61766,-1.1705681085586548,81.78,1,0.0035021158400923014,0.0003,-12.58895336,652
9.175592422485352,49043,0.06372343003749847,62012,62113,-0.9532939195632935,81.77,1,0.003587185638025403,0.0003,-12.582127620000001,656
9.442386627197266,49106,0.0490717738866806,62351,62452,-0.36668771505355835,81.64,1,0.0035610541235655546,0.0003,-12.692573549999999,660
9.05757999420166,49157,0.060253825038671494,62629,62730,1.0378515720367432,80.42,1,0.003580275224521756,0.0003,-12.376414639999998,664
9.114348411560059,49216,0.1289634108543396,62972,63073,1.2344459295272827,80.43,1,0.003576852148398757,0.0003,-12.465950249999999,668
9.117900848388672,49258,0.1430303156375885,63205,63306,-2.2009851932525635,79.15,1,0.0035969882737845182,0.0003,-12.107429259999996,672
