train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
0.47747427225112915,188.52786254882812,-120.89625746999998,24679,1528,12.32,1,22979,24578,0.0003,120.91323852539062,0.1477903127670288
0.47295716404914856,216.44244384765625,-149.67842896,25016,1532,14.98,1,23321,24915,0.0003,99.33413696289062,0.0397946871817112
0.47179511189460754,216.33316040039062,-149.94734191999999,25060,1536,14.9,1,23368,24959,0.0003,99.06246948242188,0.11812365800142288
0.46788090467453003,262.6764221191406,-150.84075371,25133,1540,14.94,1,23444,25032,0.0003,110.77104187011719,0.346494197845459
0.46944472193717957,181.1997528076172,-149.83039814999998,25181,1544,14.88,1,23495,25080,0.0003,96.99173736572266,0.01856198161840439
0.47085651755332947,285.23974609375,-151.27602657,25223,1548,14.98,1,23541,25122,0.0003,93.39368438720703,-0.18019185960292816
0.46877923607826233,348.4737548828125,-150.60910948999998,25260,1552,14.89,1,23582,25159,0.0003,90.98887634277344,-0.15163354575634003
0.4663785994052887,320.3760986328125,-149.87624376999997,25317,1556,14.88,1,23644,25216,0.0003,106.64892578125,0.05723192170262337
0.46596968173980713,1115.436279296875,-150.20454284,25369,1560,14.91,1,23698,25268,0.0003,104.87982177734375,-0.009098518639802933
0.4642789363861084,172.23892211914062,-150.86073291,25411,1564,14.95,1,23743,25310,0.0003,103.27523040771484,0.029334576800465584
0.4638861417770386,179.70751953125,-150.76644588,25455,1568,14.99,1,23791,25354,0.0003,101.03181457519531,-0.10872168838977814
0.463429719209671,274.5140380859375,-149.97760584,25503,1572,15.0,1,23844,25402,0.0003,112.73716735839844,0.030511723831295967
0.46258267760276794,254.31109619140625,-152.68196032,25567,1576,15.18,1,23910,25466,0.0003,108.31968688964844,-0.046156659722328186
0.4608592987060547,239.2120819091797,-154.16547647000002,25618,1580,15.3,1,23963,25517,0.0003,109.75914764404297,0.15263254940509796
0.46150538325309753,188.9475555419922,-155.90748158,25669,1584,15.43,1,24018,25568,0.0003,99.60846710205078,-0.05375219136476517
0.46219608187675476,1077.8162841796875,-155.06664227000002,25707,1588,15.44,1,24059,25606,0.0003,108.97420501708984,0.12022245675325394
0.46331724524497986,283.7600402832031,-156.97200067,25760,1592,15.6,1,24116,25659,0.0003,96.69728088378906,0.21614722907543182
0.4662746489048004,420.02972412109375,-156.14088822000002,25811,1596,15.52,1,24171,25710,0.0003,105.7166976928711,0.13614746928215027
0.4661431312561035,212.22955322265625,-155.90635633000002,25862,1600,15.48,1,24224,25761,0.0003,106.48139953613281,-0.028468195348978043
0.46262678503990173,237.18637084960938,-149.31451616,25919,1604,14.83,1,24284,25818,0.0003,100.52706146240234,0.009146206080913544
0.4604652225971222,188.80130004882812,-148.3265815,25967,1608,14.9,1,24337,25866,0.0003,100.81575775146484,-0.01089693047106266
0.46074962615966797,249.59751892089844,-150.20043946,26028,1612,15.03,1,24400,25927,0.0003,105.07884216308594,-0.12970449030399323
0.4622918665409088,222.56167602539062,-151.01896882,26076,1616,15.16,1,24451,25975,0.0003,107.5661849975586,-0.13524194061756134
0.46398574113845825,1056.338134765625,-154.1311791,26127,1620,15.32,1,24505,26026,0.0003,106.54414367675781,0.03444932773709297
0.46515578031539917,1041.656494140625,-155.05512117,26173,1624,15.41,1,24556,26072,0.0003,100.90044403076172,-0.08453290164470673
0.4655890166759491,189.71588134765625,-153.74723654000002,26211,1628,15.32,1,24596,26110,0.0003,107.45577239990234,0.07616962492465973
0.46540409326553345,269.6649169921875,-122.57921087000001,26267,1632,12.51,1,24656,26166,0.0003,98.88243865966797,-0.06480158865451813
0.4671004116535187,1238.59912109375,-123.20595944,26319,1636,12.59,1,24711,26218,0.0003,100.03887939453125,-0.0537264458835125
0.4679720997810364,269.73992919921875,-122.45616286,26376,1640,12.43,1,24771,26275,0.0003,95.74678039550781,0.09634952247142792
0.4670984745025635,274.7881774902344,-124.00223718,26423,1644,12.42,1,24821,26322,0.0003,104.2421646118164,0.029675671830773354
0.465964674949646,271.6985168457031,-123.84164765000001,26465,1648,12.42,1,24865,26364,0.0003,106.23616790771484,0.08855614066123962
0.4638693630695343,250.79946899414062,-124.59725384000001,26511,1652,12.51,1,24913,26410,0.0003,105.3265151977539,0.06708681583404541
0.4608810245990753,289.51910400390625,-129.33390733,26614,1656,12.97,1,25019,26513,0.0003,97.76258850097656,0.12306942045688629
0.4595892131328583,262.0179443359375,-130.43237406,26667,1660,12.98,1,25076,26566,0.0003,98.65227508544922,-0.05955544114112854
0.45822227001190186,228.06472778320312,-134.03230291,26738,1664,13.27,1,25150,26637,0.0003,105.27511596679688,-0.17894379794597626
0.4599169194698334,262.74468994140625,-134.22520587,26783,1668,13.28,1,25200,26682,0.0003,107.63770294189453,-0.15494202077388763
0.4592653512954712,220.46624755859375,-134.25927918000002,26832,1672,13.29,1,25252,26731,0.0003,105.3069839477539,0.19864453375339508
0.46029210090637207,238.74610900878906,-130.74361801,26867,1676,13.0,1,25291,26766,0.0003,104.77030181884766,-0.19404040277004242
0.45834410190582275,246.13668823242188,-131.15405176,26924,1680,13.06,1,25351,26823,0.0003,104.37896728515625,-0.20579281449317932
0.4561329782009125,263.4361267089844,-129.46603736999998,26963,1684,12.94,1,25392,26862,0.0003,106.82131958007812,0.0985463410615921
0.4569205343723297,281.76837158203125,-128.80462085,26989,1688,12.82,1,25420,26888,0.0003,109.04087829589844,-0.0764605775475502
0.4554236829280853,224.26089477539062,-126.9351211,27026,1692,12.66,1,25462,26925,0.0003,97.49443054199219,-0.025943908840417862
0.4550674855709076,166.84555053710938,-125.80176705,27066,1696,12.55,1,25503,26965,0.0003,107.28205108642578,-0.1842677891254425
0.45583778619766235,269.1339111328125,-126.05408757999997,27121,1700,12.59,1,25563,27020,0.0003,101.02334594726562,0.0006275037303566933
0.454827219247818,1208.71630859375,-124.11467599,27165,1704,12.46,1,25609,27064,0.0003,104.8816146850586,-0.016469936817884445
0.45700064301490784,230.99557495117188,-123.91053921000001,27209,1708,12.42,1,25656,27108,0.0003,109.37322235107422,-0.10341142117977142
0.4578391909599304,189.42556762695312,-120.70671116999998,27238,1712,12.1,1,25688,27137,0.0003,101.25114440917969,0.014779899269342422
0.4575713276863098,239.6136932373047,-121.20800214,27296,1716,12.2,1,25749,27195,0.0003,105.15074157714844,0.03668247163295746
0.4580768942832947,264.48846435546875,-117.48367341,27337,1720,12.1,1,25793,27236,0.0003,103.475830078125,0.08018158376216888
0.45773082971572876,281.9552917480469,-120.69184003000001,27432,1724,12.59,1,25892,27331,0.0003,102.40763092041016,-0.12972621619701385
0.4567439556121826,1156.10400390625,-121.17230008,27472,1728,12.61,1,25934,27371,0.0003,107.42779541015625,-0.1599951684474945
0.45748984813690186,280.53997802734375,-122.05600333000002,27539,1732,12.72,1,26004,27438,0.0003,104.42758178710938,-0.04618312045931816
0.46283575892448425,228.67559814453125,-124.60829034000002,27606,1736,12.87,1,26024,27505,0.0003,105.3172378540039,-0.11283506453037262
