time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean
1,0.005430200137197971,-10.216910362243652,16715,28784,0.05289387330412865,1.2773590087890625,99.86,288,0.0003,28683,-29.517530669999996
1,0.005535299889743328,-9.721138000488281,17122,29184,0.04853583499789238,1.9646812677383423,99.86,292,0.0003,29083,-29.414086280000006
1,0.005613756366074085,-9.059797286987305,17525,29584,0.04606490209698677,-0.3166160583496094,99.86,296,0.0003,29483,-29.44602359
1,0.005493022967129946,-8.629709243774414,17929,29984,0.043599918484687805,-0.21298810839653015,99.86,300,0.0003,29883,-29.59760153
1,0.005376462358981371,-8.1652193069458,18333,30384,0.055902205407619476,-2.0681686401367188,99.86,304,0.0003,30283,-29.205384899999995
1,0.005339798517525196,-7.5860276222229,18737,30784,0.048821933567523956,1.3221122026443481,99.86,308,0.0003,30683,-29.21978953
1,0.005229096859693527,-7.419516563415527,19142,31184,0.05065510421991348,-0.6199107766151428,99.86,312,0.0003,31083,-29.313861490000004
1,0.005138271488249302,-6.794492244720459,19545,31584,0.045941684395074844,0.42927461862564087,99.86,316,0.0003,31483,-29.41543153
1,0.005100821610540152,-6.281469821929932,19950,31984,0.04292385280132294,3.0962460041046143,99.86,320,0.0003,31883,-29.38138116
1,0.005073498003184795,-5.990620136260986,20353,32384,0.04966123402118683,-0.6739100217819214,99.86,324,0.0003,32283,-29.295873090000004
1,0.004942987579852343,-5.596404075622559,20756,32784,0.045258745551109314,1.2866066694259644,99.86,328,0.0003,32683,-29.35286854
1,0.004784465301781893,-5.178224563598633,21159,33184,0.053037166595458984,-0.9436452388763428,99.86,332,0.0003,33083,-29.628205549999997
1,0.004742453806102276,-4.649730682373047,21565,33584,0.04811161756515503,-1.0290738344192505,99.86,336,0.0003,33483,-29.284087340000006
1,0.004679288249462843,-4.237491607666016,21970,33984,0.03835732489824295,-1.4709556102752686,99.86,340,0.0003,33883,-29.436596319999992
1,0.004514127969741821,-3.8553247451782227,22372,34384,0.04875234141945839,-3.5526113510131836,99.86,344,0.0003,34283,-29.519176659999992
1,0.004402833059430122,-3.388453245162964,22776,34784,0.038822297006845474,-0.16398048400878906,99.86,348,0.0003,34683,-29.902940919999995
1,0.004266788251698017,-2.99243426322937,23180,35184,0.03264467418193817,-3.5461957454681396,99.86,352,0.0003,35083,-29.98195445
1,0.004092510789632797,-2.619309186935425,23583,35584,0.03408950939774513,-2.4043385982513428,99.86,356,0.0003,35483,-30.149262739999998
1,0.003971283324062824,-2.10854434967041,23988,35984,0.04087011143565178,0.05635273456573486,99.86,360,0.0003,35883,-30.102975380000004
1,0.003895404050126672,-1.6707242727279663,24392,36384,0.03293170779943466,2.2228012084960938,99.86,364,0.0003,36283,-30.22444986
1,0.0037858705036342144,-1.257238745689392,24796,36784,0.04208803176879883,-2.5972421169281006,99.86,368,0.0003,36683,-29.884274939999997
1,0.0036195602733641863,-0.7354634404182434,25200,37184,0.0411597341299057,-0.8802699446678162,99.86,372,0.0003,37083,-29.825087489999998
1,0.0034464383497834206,-0.33930855989456177,25604,37584,0.03294253721833229,1.5495517253875732,99.86,376,0.0003,37483,-29.843858440000005
1,0.0034163419622927904,0.03545919060707092,26008,37984,0.034453894942998886,-0.6307992935180664,99.86,380,0.0003,37883,-29.614883339999995
1,0.0032777416054159403,0.4636346101760864,26412,38384,0.035777948796749115,-0.37178730964660645,100.0,384,0.0003,38283,-29.536344330000002
1,0.003167190123349428,0.7734041810035706,26816,38784,0.03120545856654644,-1.5198619365692139,100.0,388,0.0003,38683,-29.316166950000003
1,0.003089800477027893,1.3008301258087158,27219,39184,0.03397772088646889,-0.20313718914985657,100.0,392,0.0003,39083,-29.012648440000003
1,0.0030644370708614588,1.5470399856567383,27623,39584,0.02680937573313713,-3.008892059326172,100.0,396,0.0003,39483,-28.611894120000002
1,0.0029948472511023283,1.8941445350646973,28027,39984,0.03427860885858536,-2.170008659362793,100.0,400,0.0003,39883,-28.41133656
1,0.0029841531068086624,2.374476194381714,28431,40384,0.0346197783946991,-2.4029107093811035,100.0,404,0.0003,40283,-28.346851120000007
1,0.0029543074779212475,2.66481614112854,28835,40784,0.04566420242190361,0.7562505006790161,100.0,408,0.0003,40683,-28.088104160000004
1,0.002889831317588687,3.210348129272461,29237,41184,0.03178437054157257,1.7224652767181396,100.0,412,0.0003,41083,-27.663947230000005
1,0.0028431748505681753,3.436056613922119,29642,41584,0.03118034079670906,-0.0650053322315216,100.0,416,0.0003,41483,-27.269166999999996
1,0.002801083493977785,3.7828879356384277,30046,41984,0.03244777396321297,1.908409833908081,100.0,420,0.0003,41883,-26.847365739999997
1,0.0028156223706901073,4.142865180969238,30450,42384,0.03658176213502884,0.06552819907665253,100.0,424,0.0003,42283,-26.447860570000003
1,0.002801082096993923,4.305902481079102,30843,42772,0.03386974707245827,0.68589848279953,99.88,428,0.0003,42671,-26.25538544
1,0.00277035403996706,4.710036754608154,31247,43172,0.037046026438474655,3.2937703132629395,99.88,432,0.0003,43071,-25.748552360000005
1,0.002804748248308897,5.075458526611328,31651,43572,0.03354743868112564,1.5230884552001953,99.88,436,0.0003,43471,-25.59829049
1,0.0027808495797216892,5.35556697845459,32029,43945,0.037102967500686646,1.4230740070343018,99.61,440,0.0003,43844,-25.09290935
1,0.002828891621902585,5.469890594482422,32432,44345,0.036351606249809265,-2.2999820709228516,99.61,444,0.0003,44244,-24.76594272
